st_cty,vac_rate
OK Atoka County,29.1
OK Beaver County,26.4
OK Beckham County,35.4
OK Blaine County,38.9
OK Bryan County,31.7
OK Caddo County,53.1
OK Canadian County,48.5
OK Carter County,39
OK Cherokee County,40.4
OK Choctaw County,26.9
OK Cimarron County,23.6
OK Cleveland County,45.7
OK Coal County,32.8
OK Comanche County,47.5
OK Cotton County,37.4
OK Craig County,47.5
OK Creek County,36.1
OK Custer County,41.4
OK Delaware County,35
OK Dewey County,22.2
OK Ellis County,31.1
OK Garfield County,40.1
OK Garvin County,40.9
OK Grady County,31.5
OK Grant County,37.9
OK Greer County,32.5
OK Harmon County,43.2
OK Harper County,39.4
OK Haskell County,33.8
OK Hughes County,36.9
OK Jackson County,43.8
OK Jefferson County,35.6
OK Johnston County,35.9
OK Kay County,36.5
OK Kingfisher County,39.5
OK Kiowa County,45.5
OK Latimer County,27.4
OK Le Flore County,32.4
OK Lincoln County,34.1
OK Logan County,28.7
OK Love County,36.9
OK Major County,40.9
OK Marshall County,40.1
OK Mayes County,37.2
OK McClain County,42.2
OK McCurtain County,26.7
OK McIntosh County,47.3
OK Murray County,38.7
OK Muskogee County,43.3
OK Noble County,52.1
OK Nowata County,35.7
OK Okfuskee County,39.9
OK Oklahoma County,54.8
OK Okmulgee County,35.6
OK Osage County,27.5
OK Ottawa County,31.2
OK Pawnee County,42.1
OK Payne County,42.8
OK Pittsburg County,37.7
OK Pontotoc County,45.6
OK Pottawatomie County,39.9
OK Pushmataha County,27.7
OK Roger Mills County,29.8
OK Rogers County,39
OK Seminole County,42.5
OK Sequoyah County,32.1
OK Stephens County,41.7
OK Texas County,36.5
OK Tillman County,40.5
OK Tulsa County,51.6
OK Unknown County,0
OK Wagoner County,39.3
OK Washington County,38.1
OK Washita County,34.7
OK Woods County,35.3
OK Woodward County,32.9
OR Baker County,74.2
OR Benton County,67.2
OR Clackamas County,58.8
OR Clatsop County,57.2
OR Columbia County,52.7
OR Coos County,49.8
OR Crook County,42.9
OR Curry County,51.8
OR Deschutes County,60.4
OR Douglas County,46
OR Gilliam County,40.2
OR Grant County,39.5
OR Harney County,37.5
OR Hood River County,72.7
OR Jackson County,48.6
OR Jefferson County,53.3
OR Josephine County,42.2
OR Klamath County,42.7
OR Lake County,33.5
OR Lane County,60.8
OR Lincoln County,62.4
OR Linn County,47.2
OR Malheur County,35.9
OR Marion County,53.3
OR Morrow County,43.2
OR Multnomah County,71.5
OR Polk County,53.6
OR Sherman County,49.4
OR Tillamook County,55.7
OR Umatilla County,44.5
OR Union County,40.1
OR Unknown County,0
OR Wallowa County,50.9
OR Wasco County,56
OR Washington County,65.8
OR Wheeler County,49.6
OR Yamhill County,54.2
PA Adams County,47.8
PA Allegheny County,66.7
PA Armstrong County,52.5
PA Beaver County,41.1
PA Bedford County,33.5
PA Berks County,56.4
PA Blair County,46.1
PA Bradford County,37.6
PA Bucks County,68.8
PA Butler County,56.6
PA Cambria County,50
PA Cameron County,61.7
PA Carbon County,58.2
PA Centre County,56.7
PA Chester County,85.1
PA Clarion County,39.3
PA Clearfield County,45.2
PA Clinton County,39.5
PA Columbia County,55.6
PA Crawford County,44.2
PA Cumberland County,68.5
PA Dauphin County,57.2
PA Delaware County,69.1
PA Elk County,53.5
PA Erie County,52.2
PA Fayette County,51.5
PA Forest County,63.1
PA Franklin County,42.2
PA Fulton County,28.5
PA Greene County,45
PA Huntingdon County,44
PA Indiana County,41.8
PA Jefferson County,45.1
PA Juniata County,38.2
PA Lackawanna County,66.6
PA Lancaster County,56.3
PA Lawrence County,44.5
PA Lebanon County,49.9
PA Lehigh County,69.7
PA Luzerne County,57.7
PA Lycoming County,46.8
PA McKean County,51.2
PA Mercer County,48.9
PA Mifflin County,45.1
PA Monroe County,54
PA Montgomery County,80.8
PA Montour County,68.3
PA Northampton County,69.4
PA Northumberland County,52.3
PA Perry County,51
PA Philadelphia County,59
PA Pike County,54
PA Potter County,26.4
PA Schuylkill County,58.8
PA Snyder County,43.7
PA Somerset County,43.8
PA Sullivan County,63.3
PA Susquehanna County,42
PA Tioga County,37.3
PA Union County,53.6
PA Unknown County,0
PA Venango County,37.1
PA Warren County,47.4
PA Washington County,62.3
PA Wayne County,58.3
PA Westmoreland County,55.3
PA Wyoming County,56.1
PA York County,52.8
PR Adjuntas Municipio,63.2
PR Aguada Municipio,64.8
PR Aguadilla Municipio,65.5
PR Aguas Buenas Municipio,63.6
PR Aibonito Municipio,79.3
PR Anasco Municipio,63.9
PR Arecibo Municipio,92.8
PR Arroyo Municipio,65.4
PR Barceloneta Municipio,59.8
PR Barranquitas Municipio,68.3
PR Bayamon Municipio,74.1
PR Cabo Rojo Municipio,62.2
PR Caguas Municipio,68.7
PR Camuy Municipio,63.9
PR Canovanas Municipio,60.4
PR Carolina Municipio,66
PR Catano Municipio,60.6
PR Cayey Municipio,70.4
PR Ceiba Municipio,56.8
PR Ciales Municipio,71
PR Cidra Municipio,65.8
PR Coamo Municipio,61.1
PR Comerio Municipio,62.2
PR Corozal Municipio,66.7
PR Culebra Municipio,95.6
PR Dorado Municipio,64.5
PR Fajardo Municipio,60.1
PR Florida Municipio,69.9
PR Guanica Municipio,60.5
PR Guayama Municipio,61.9
PR Guayanilla Municipio,68.5
PR Guaynabo Municipio,77.8
PR Gurabo Municipio,55.5
PR Hatillo Municipio,58.5
PR Hormigueros Municipio,70
PR Humacao Municipio,66.6
PR Isabela Municipio,58.9
PR Jayuya Municipio,69.1
PR Juana Diaz Municipio,64.3
PR Juncos Municipio,60.2
PR Lajas Municipio,65.6
PR Lares Municipio,81.6
PR Las Marias Municipio,73.4
PR Las Piedras Municipio,61.6
PR Loiza Municipio,46.8
PR Luquillo Municipio,53.3
PR Manati Municipio,65.3
PR Maricao Municipio,58.2
PR Maunabo Municipio,63.6
PR Mayaguez Municipio,68.4
PR Moca Municipio,65.2
PR Morovis Municipio,60.2
PR Naguabo Municipio,50.2
PR Naranjito Municipio,63.1
PR Orocovis Municipio,72.6
PR Patillas Municipio,69.6
PR Penuelas Municipio,68.4
PR Ponce Municipio,73.5
PR Quebradillas Municipio,65.7
PR Rincon Municipio,62.8
PR Rio Grande Municipio,56.7
PR Sabana Grande Municipio,72.6
PR Salinas Municipio,67.6
PR San German Municipio,65.2
PR San Juan Municipio,64.7
PR San Lorenzo Municipio,64.5
PR San Sebastian Municipio,72.2
PR Santa Isabel Municipio,59.9
PR Toa Alta Municipio,57.8
PR Toa Baja Municipio,63.8
PR Trujillo Alto Municipio,49.6
PR Unknown County,0
PR Utuado Municipio,62.6
PR Vega Alta Municipio,52
PR Vega Baja Municipio,68.3
PR Vieques Municipio,65.1
PR Villalba Municipio,78.9
PR Yabucoa Municipio,66.6
PR Yauco Municipio,73.4
PW Unknown County,0
RI Bristol County,67
RI Kent County,66.9
RI Newport County,66.9
RI Providence County,59.5
RI Unknown County,0
RI Washington County,66.9
SC Abbeville County,33.6
SC Aiken County,38.5
SC Allendale County,47.9
SC Anderson County,33.1
SC Bamberg County,39.1
SC Barnwell County,41
SC Beaufort County,56.6
SC Berkeley County,38.3
SC Calhoun County,32.5
SC Charleston County,56.1
SC Cherokee County,26.6
SC Chester County,36.4
SC Chesterfield County,30.7
SC Clarendon County,39
SC Colleton County,38.2
SC Darlington County,41
SC Dillon County,35.7
SC Dorchester County,43.4
SC Edgefield County,48.5
SC Fairfield County,46
SC Florence County,44.9
SC Georgetown County,48.7
SC Greenville County,46.4
SC Greenwood County,40.7
SC Hampton County,50.5
SC Horry County,48.7
SC Jasper County,30.8
SC Kershaw County,47.3
SC Lancaster County,39.3
SC Laurens County,31.5
SC Lee County,34.1
SC Lexington County,44.5
SC Marion County,39.3
SC Marlboro County,35.8
SC McCormick County,54.1
SC Newberry County,44
SC Oconee County,39.4
SC Orangeburg County,44.7
SC Pickens County,39.5
SC Richland County,51.8
SC Saluda County,26.4
SC Spartanburg County,35.2
SC Sumter County,42.2
SC Union County,33.9
SC Unknown County,0
SC Williamsburg County,46.7
SC York County,40.4
SD Aurora County,35.7
SD Beadle County,19.7
SD Bennett County,42.3
SD Bon Homme County,42.4
SD Brookings County,26.1
SD Brown County,48.1
SD Brule County,13.3
SD Buffalo County,49.5
SD Butte County,14.7
SD Campbell County,26.2
SD Charles Mix County,44.8
SD Clark County,43.4
SD Clay County,52.9
SD Codington County,23.9
SD Corson County,25.6
SD Custer County,14.7
SD Davison County,25.3
SD Day County,31.7
SD Deuel County,22.4
SD Dewey County,56.1
SD Douglas County,18.3
SD Edmunds County,16
SD Fall River County,20.4
SD Faulk County,32.8
SD Grant County,8.7
SD Gregory County,21.1
SD Haakon County,5.5
SD Hamlin County,20.1
SD Hand County,22
SD Hanson County,20
SD Harding County,13.4
SD Hughes County,32.3
SD Hutchinson County,21.1
SD Hyde County,19.6
SD Jackson County,31.6
SD Jerauld County,13.1
SD Jones County,46
SD Kingsbury County,42
SD Lake County,24
SD Lawrence County,23.4
SD Lincoln County,28.4
SD Lyman County,56.1
SD Marshall County,36.6
SD McCook County,27.4
SD McPherson County,6.8
SD Meade County,37.3
SD Mellette County,38.8
SD Miner County,43.4
SD Minnehaha County,49.8
SD Moody County,38.5
SD Oglala Lakota County,54.4
SD Pennington County,24.1
SD Perkins County,7.6
SD Potter County,24.5
SD Roberts County,32
SD Sanborn County,23
SD Spink County,18.4
SD Stanley County,53.4
SD Sully County,21.2
SD Todd County,44.4
SD Tripp County,15.4
SD Turner County,20.1
SD Union County,42.7
SD Unknown County,0
SD Walworth County,7.7
SD Yankton County,55.6
SD Ziebach County,21.7
TN Anderson County,47.6
TN Bedford County,31.6
TN Benton County,36.3
TN Bledsoe County,28.6
TN Blount County,44.6
TN Bradley County,33.4
TN Campbell County,36.1
TN Cannon County,25.4
TN Carroll County,38.6
TN Carter County,34.1
TN Cheatham County,40
TN Chester County,28.6
TN Claiborne County,37.8
TN Clay County,24.1
TN Cocke County,42.7
TN Coffee County,37
TN Crockett County,37
TN Cumberland County,40.7
TN Davidson County,54.3
TN DeKalb County,33.3
TN Decatur County,30.9
TN Dickson County,37.7
TN Dyer County,29.7
TN Fayette County,47.2
TN Fentress County,26.9
TN Franklin County,34
TN Gibson County,34.6
TN Giles County,31.3
TN Grainger County,41.1
TN Greene County,39.4
TN Grundy County,21.8
TN Hamblen County,34.6
TN Hamilton County,48.3
TN Hancock County,26.4
TN Hardeman County,37.6
TN Hardin County,33.7
TN Hawkins County,36.5
TN Haywood County,41.9
TN Henderson County,33.9
TN Henry County,38.5
TN Hickman County,32.9
TN Houston County,33
TN Humphreys County,33
TN Jackson County,27.3
TN Jefferson County,41.3
TN Johnson County,33.2
TN Knox County,51.1
TN Lake County,27.3
TN Lauderdale County,29.9
TN Lawrence County,29.2
TN Lewis County,28.5
TN Lincoln County,33.6
TN Loudon County,54.5
TN Macon County,24.5
TN Madison County,43.8
TN Marion County,35.5
TN Marshall County,34.9
TN Maury County,51.8
TN McMinn County,32.2
TN McNairy County,39
TN Meigs County,56
TN Monroe County,34.9
TN Montgomery County,45.7
TN Moore County,19
TN Morgan County,42.1
TN Obion County,31.4
TN Overton County,29.2
TN Perry County,31.9
TN Pickett County,37.3
TN Polk County,34.5
TN Putnam County,41.8
TN Rhea County,35.5
TN Roane County,37
TN Robertson County,40.8
TN Rutherford County,42.3
TN Scott County,29.3
TN Sequatchie County,27.4
TN Sevier County,40.1
TN Shelby County,47.4
TN Smith County,26.1
TN Stewart County,34
TN Sullivan County,47.3
TN Sumner County,38.9
TN Tipton County,31.3
TN Trousdale County,29.9
TN Unicoi County,46.8
TN Union County,29
TN Unknown County,0
TN Van Buren County,46.1
TN Warren County,32.3
TN Washington County,50.8
TN Wayne County,33.7
TN Weakley County,29.8
TN White County,35.1
TN Williamson County,55.6
TN Wilson County,42.5
TX Anderson County,0
TX Andrews County,0
TX Angelina County,0
TX Aransas County,0
TX Archer County,0
TX Armstrong County,0
TX Atascosa County,0
TX Austin County,0
TX Bailey County,0
TX Bandera County,0
TX Bastrop County,0
TX Baylor County,0
TX Bee County,0
TX Bell County,0
TX Bexar County,0
TX Blanco County,0
TX Borden County,0
TX Bosque County,0
TX Bowie County,0
TX Brazoria County,0
TX Brazos County,0
TX Brewster County,0
TX Briscoe County,0
TX Brooks County,0
TX Brown County,0
TX Burleson County,0
TX Burnet County,0
TX Caldwell County,0
TX Calhoun County,0
TX Callahan County,0
TX Cameron County,0
TX Camp County,0
TX Carson County,0
TX Cass County,0
TX Castro County,0
TX Chambers County,0
TX Cherokee County,0
TX Childress County,0
TX Clay County,0
TX Cochran County,0
TX Coke County,0
TX Coleman County,0
TX Collin County,0
TX Collingsworth County,0
TX Colorado County,0
TX Comal County,0
TX Comanche County,0
TX Concho County,0
TX Cooke County,0
TX Coryell County,0
TX Cottle County,0
TX Crane County,0
TX Crockett County,0
TX Crosby County,0
TX Culberson County,0
TX Dallam County,0
TX Dallas County,0
TX Dawson County,0
TX DeWitt County,0
TX Deaf Smith County,0
TX Delta County,0
TX Denton County,0
TX Dickens County,0
TX Dimmit County,0
TX Donley County,0
TX Duval County,0
TX Eastland County,0
TX Ector County,0
TX Edwards County,0
TX El Paso County,0
TX Ellis County,0
TX Erath County,0
TX Falls County,0
TX Fannin County,0
TX Fayette County,0
TX Fisher County,0
TX Floyd County,0
TX Foard County,0
TX Fort Bend County,0
TX Franklin County,0
TX Freestone County,0
TX Frio County,0
TX Gaines County,0
TX Galveston County,0
TX Garza County,0
TX Gillespie County,0
TX Glasscock County,0
TX Goliad County,0
TX Gonzales County,0
TX Gray County,0
TX Grayson County,0
TX Gregg County,0
TX Grimes County,0
TX Guadalupe County,0
TX Hale County,0
TX Hall County,0
TX Hamilton County,0
TX Hansford County,0
TX Hardeman County,0
TX Hardin County,0
TX Harris County,0
TX Harrison County,0
TX Hartley County,0
TX Haskell County,0
TX Hays County,0
TX Hemphill County,0
TX Henderson County,0
TX Hidalgo County,0
TX Hill County,0
TX Hockley County,0
TX Hood County,0
TX Hopkins County,0
TX Houston County,0
TX Howard County,0
TX Hudspeth County,0
TX Hunt County,0
TX Hutchinson County,0
TX Irion County,0
TX Jack County,0
TX Jackson County,0
TX Jasper County,0
TX Jeff Davis County,0
TX Jefferson County,0
TX Jim Hogg County,0
TX Jim Wells County,0
TX Johnson County,0
TX Jones County,0
TX Karnes County,0
TX Kaufman County,0
TX Kendall County,0
TX Kenedy County,0
TX Kent County,0
TX Kerr County,0
TX Kimble County,0
TX King County,0
TX Kinney County,0
TX Kleberg County,0
TX Knox County,0
TX La Salle County,0
TX Lamar County,0
TX Lamb County,0
TX Lampasas County,0
TX Lavaca County,0
TX Lee County,0
TX Leon County,0
TX Liberty County,0
TX Limestone County,0
TX Lipscomb County,0
TX Live Oak County,0
TX Llano County,0
TX Loving County,0
TX Lubbock County,0
TX Lynn County,0
TX Madison County,0
TX Marion County,0
TX Martin County,0
TX Mason County,0
TX Matagorda County,0
TX Maverick County,0
TX McCulloch County,0
TX McLennan County,0
TX McMullen County,0
TX Medina County,0
TX Menard County,0
TX Midland County,0
TX Milam County,0
TX Mills County,0
TX Mitchell County,0
TX Montague County,0
TX Montgomery County,0
TX Moore County,0
TX Morris County,0
TX Motley County,0
TX Nacogdoches County,0
TX Navarro County,0
TX Newton County,0
TX Nolan County,0
TX Nueces County,0
TX Ochiltree County,0
TX Oldham County,0
TX Orange County,0
TX Palo Pinto County,0
TX Panola County,0
TX Parker County,0
TX Parmer County,0
TX Pecos County,0
TX Polk County,0
TX Potter County,0
TX Presidio County,0
TX Rains County,0
TX Randall County,0
TX Reagan County,0
TX Real County,0
TX Red River County,0
TX Reeves County,0
TX Refugio County,0
TX Roberts County,0
TX Robertson County,0
TX Rockwall County,0
TX Runnels County,0
TX Rusk County,0
TX Sabine County,0
TX San Augustine County,0
TX San Jacinto County,0
TX San Patricio County,0
TX San Saba County,0
TX Schleicher County,0
TX Scurry County,0
TX Shackelford County,0
TX Shelby County,0
TX Sherman County,0
TX Smith County,0
TX Somervell County,0
TX Starr County,0
TX Stephens County,0
TX Sterling County,0
TX Stonewall County,0
TX Sutton County,0
TX Swisher County,0
TX Tarrant County,0
TX Taylor County,0
TX Terrell County,0
TX Terry County,0
TX Throckmorton County,0
TX Titus County,0
TX Tom Green County,0
TX Travis County,0
TX Trinity County,0
TX Tyler County,0
TX Upshur County,0
TX Upton County,0
TX Uvalde County,0
TX Val Verde County,0
TX Van Zandt County,0
TX Victoria County,0
TX Walker County,0
TX Waller County,0
TX Ward County,0
TX Washington County,0
TX Webb County,0
TX Wharton County,0
TX Wheeler County,0
TX Wichita County,0
TX Wilbarger County,0
TX Willacy County,0
TX Williamson County,0
TX Wilson County,0
TX Winkler County,0
TX Wise County,0
TX Wood County,0
TX Yoakum County,0
TX Young County,0
TX Zapata County,0
TX Zavala County,0
UNK Unknown County,0
UT Beaver County,37.7
UT Box Elder County,40.5
UT Cache County,47.7
UT Carbon County,42.3
UT Daggett County,56.8
UT Davis County,52.6
UT Duchesne County,36.3
UT Emery County,36.8
UT Garfield County,48.7
UT Grand County,61.9
UT Iron County,36
UT Juab County,31.3
UT Kane County,42
UT Millard County,36.5
UT Morgan County,41.9
UT Piute County,34.7
UT Rich County,45.2
UT Salt Lake County,58.8
UT San Juan County,50.8
UT Sanpete County,33
UT Sevier County,34.2
UT Summit County,79.3
UT Tooele County,46.8
UT Uintah County,36.2
UT Unknown County,0
UT Utah County,44.7
UT Wasatch County,48.9
UT Washington County,42.7
UT Wayne County,45.9
UT Weber County,48
VA Accomack County,55.4
VA Albemarle County,25
VA Alexandria city,30.7
VA Alleghany County,4.9
VA Amelia County,1.8
VA Amherst County,29.7
VA Appomattox County,1.9
VA Arlington County,41.1
VA Augusta County,23.5
VA Bath County,17.4
VA Bedford County,21.1
VA Bland County,7.9
VA Botetourt County,19.2
VA Bristol city,54
VA Brunswick County,36.4
VA Buchanan County,31.6
VA Buckingham County,10
VA Buena Vista city,0
VA Campbell County,16.3
VA Caroline County,10.1
VA Carroll County,9.2
VA Charles City County,3.9
VA Charlotte County,10.5
VA Charlottesville city,6.8
VA Chesapeake city,12.8
VA Chesterfield County,30.2
VA Clarke County,48.9
VA Colonial Heights city,0.8
VA Covington city,0
VA Craig County,2.6
VA Culpeper County,12
VA Cumberland County,6.7
VA Danville city,0.5
VA Dickenson County,32
VA Dinwiddie County,24.5
VA Emporia city,1.6
VA Essex County,13.9
VA Fairfax County,56.6
VA Fairfax city,6.6
VA Falls Church city,6.8
VA Fauquier County,35.9
VA Floyd County,5.3
VA Fluvanna County,43.6
VA Franklin County,25.4
VA Franklin city,0
VA Frederick County,19.7
VA Fredericksburg city,4.8
VA Galax city,1.2
VA Giles County,18.3
VA Gloucester County,49.9
VA Goochland County,39
VA Grayson County,21.4
VA Greene County,3
VA Greensville County,5.5
VA Halifax County,17.6
VA Hampton city,38.8
VA Hanover County,29.8
VA Harrisonburg city,4.7
VA Henrico County,22.2
VA Henry County,15.7
VA Highland County,52.2
VA Hopewell city,0.3
VA Isle of Wight County,16.9
VA James City County,8.3
VA King George County,15
VA King William County,31.8
VA King and Queen County,27.9
VA Lancaster County,35.3
VA Lee County,39.7
VA Lexington city,0
VA Loudoun County,49.4
VA Louisa County,3.4
VA Lunenburg County,34.4
VA Lynchburg city,0.9
VA Madison County,43.8
VA Manassas Park city,1.3
VA Manassas city,3
VA Martinsville city,0.7
VA Mathews County,47.9
VA Mecklenburg County,11.6
VA Middlesex County,51.9
VA Montgomery County,27.5
VA Nelson County,25
VA New Kent County,22.8
VA Newport News city,32.2
VA Norfolk city,42
VA Northampton County,50.6
VA Northumberland County,23.8
VA Norton city,0
VA Nottoway County,16.3
VA Orange County,5.8
VA Page County,11.5
VA Patrick County,25.4
VA Petersburg city,2.3
VA Pittsylvania County,21.5
VA Poquoson city,0
VA Portsmouth city,65.4
VA Powhatan County,1.8
VA Prince Edward County,2.9
VA Prince George County,21.7
VA Prince William County,55.3
VA Pulaski County,19.5
VA Radford city,9
VA Rappahannock County,25.3
VA Richmond County,8.8
VA Richmond city,14.9
VA Roanoke County,3.5
VA Roanoke city,9.1
VA Rockbridge County,14.9
VA Rockingham County,12.9
VA Russell County,30.6
VA Salem city,2.4
VA Scott County,34.9
VA Shenandoah County,32.4
VA Smyth County,29.7
VA Southampton County,8.7
VA Spotsylvania County,12.1
VA Stafford County,35
VA Staunton city,2.1
VA Suffolk city,30
VA Surry County,35.5
VA Sussex County,9.9
VA Tazewell County,29
VA Unknown County,0
VA Virginia Beach city,39
VA Warren County,5.1
VA Washington County,38.9
VA Waynesboro city,1.3
VA Westmoreland County,14.6
VA Williamsburg city,3.6
VA Winchester city,4
VA Wise County,25.7
VA Wythe County,23.8
VA York County,42.1
VI St. Croix Island,0
VI St. John Island,0
VI St. Thomas Island,0
VI Unknown County,0
VT Addison County,66.2
VT Bennington County,41
VT Caledonia County,33.5
VT Chittenden County,69.3
VT Essex County,37.2
VT Franklin County,34.4
VT Grand Isle County,76.5
VT Lamoille County,60.7
VT Orange County,51
VT Orleans County,53.8
VT Rutland County,65.6
VT Unknown County,0
VT Washington County,44.2
VT Windham County,64.4
VT Windsor County,50.2
WA Adams County,43.3
WA Asotin County,34.3
WA Benton County,49.4
WA Chelan County,60.4
WA Clallam County,60.9
WA Clark County,57.4
WA Columbia County,39.7
WA Cowlitz County,52.7
WA Douglas County,51.6
WA Ferry County,49.6
WA Franklin County,40.2
WA Garfield County,36.7
WA Grant County,44.8
WA Grays Harbor County,51.5
WA Island County,61.1
WA Jefferson County,70.2
WA King County,72.7
WA Kitsap County,59.6
WA Kittitas County,49.3
WA Klickitat County,44.1
WA Lewis County,44.2
WA Lincoln County,42.6
WA Mason County,51.8
WA Okanogan County,59.6
WA Pacific County,49.8
WA Pend Oreille County,34.5
WA Pierce County,56.5
WA San Juan County,74.9
WA Skagit County,59.4
WA Skamania County,35.7
WA Snohomish County,63.6
WA Spokane County,53.9
WA Stevens County,34
WA Thurston County,56.9
WA Unknown County,0
WA Wahkiakum County,44.8
WA Walla Walla County,55.4
WA Whatcom County,70.1
WA Whitman County,43.6
WA Yakima County,51.8
WI Adams County,48.4
WI Ashland County,59.5
WI Barron County,45.9
WI Bayfield County,73.9
WI Brown County,53.8
WI Buffalo County,44.2
WI Burnett County,51.3
WI Calumet County,47.5
WI Chippewa County,48.2
WI Clark County,30.4
WI Columbia County,57.5
WI Crawford County,49.9
WI Dane County,73.2
WI Dodge County,43.6
WI Door County,69.2
WI Douglas County,40.5
WI Dunn County,41.7
WI Eau Claire County,52.9
WI Florence County,40.6
WI Fond du Lac County,46.6
WI Forest County,50
WI Grant County,48
WI Green County,55.5
WI Green Lake County,46.1
WI Iowa County,61.2
WI Iron County,53.1
WI Jackson County,42.4
WI Jefferson County,48.8
WI Juneau County,46.1
WI Kenosha County,50.9
WI Kewaunee County,43.6
WI La Crosse County,59.4
WI Lafayette County,52.5
WI Langlade County,46.1
WI Lincoln County,47.9
WI Manitowoc County,51.2
WI Marathon County,50.7
WI Marinette County,43.6
WI Marquette County,45.9
WI Menominee County,55.7
WI Milwaukee County,53.6
WI Monroe County,44.8
WI Oconto County,44.8
WI Oneida County,57.5
WI Outagamie County,53.6
WI Ozaukee County,62.9
WI Pepin County,43.3
WI Pierce County,39.1
WI Polk County,44.5
WI Portage County,53
WI Price County,52
WI Racine County,50.4
WI Richland County,51.7
WI Rock County,59.9
WI Rusk County,34.7
WI Sauk County,55.2
WI Sawyer County,52.1
WI Shawano County,45.2
WI Sheboygan County,52.1
WI St. Croix County,43
WI Taylor County,29
WI Trempealeau County,55
WI Unknown County,0
WI Vernon County,47.7
WI Vilas County,56.9
WI Walworth County,46.2
WI Washburn County,56.2
WI Washington County,48.8
WI Waukesha County,60.3
WI Waupaca County,45
WI Waushara County,37.6
WI Winnebago County,51.4
WI Wood County,51.6
WV Barbour County,9.9
WV Berkeley County,35.7
WV Boone County,36.6
WV Braxton County,15.7
WV Brooke County,22.9
WV Cabell County,26.4
WV Calhoun County,16
WV Clay County,27.9
WV Doddridge County,6.6
WV Fayette County,32.4
WV Gilmer County,43
WV Grant County,15.4
WV Greenbrier County,38.9
WV Hampshire County,24.6
WV Hancock County,23.9
WV Hardy County,25.1
WV Harrison County,25.3
WV Jackson County,21
WV Jefferson County,39.2
WV Kanawha County,39.5
WV Lewis County,32.6
WV Lincoln County,20.9
WV Logan County,36.4
WV Marion County,14.1
WV Marshall County,12.1
WV Mason County,29.5
WV McDowell County,27.9
WV Mercer County,44
WV Mineral County,35.8
WV Mingo County,25.9
WV Monongalia County,18.9
WV Monroe County,27.6
WV Morgan County,6.3
WV Nicholas County,35.3
WV Ohio County,13.5
WV Pendleton County,39.1
WV Pleasants County,12.7
WV Pocahontas County,26.5
WV Preston County,35.2
WV Putnam County,22.4
WV Raleigh County,27.1
WV Randolph County,32.9
WV Ritchie County,23.3
WV Roane County,8
WV Summers County,18.6
WV Taylor County,6.2
WV Tucker County,31.3
WV Tyler County,19.8
WV Unknown County,0
WV Upshur County,12.1
WV Wayne County,34.4
WV Webster County,34.3
WV Wetzel County,13.1
WV Wirt County,6
WV Wood County,39.3
WV Wyoming County,40.6
WY Albany County,48.3
WY Big Horn County,30.3
WY Campbell County,22.6
WY Carbon County,39.7
WY Converse County,27.2
WY Crook County,23.6
WY Fremont County,50.2
WY Goshen County,31.7
WY Hot Springs County,39.3
WY Johnson County,36.8
WY Laramie County,45.4
WY Lincoln County,32
WY Natrona County,37.4
WY Niobrara County,25.3
WY Park County,40.1
WY Platte County,33
WY Sheridan County,43.2
WY Sublette County,28.8
WY Sweetwater County,37.1
WY Teton County,82
WY Uinta County,37.2
WY Unknown County,0
WY Washakie County,33.8
WY Weston County,29.4
